"Test Case ID","Feature","Scope","Priority","Android Version","Test Category","Test Type","Scenario","Preconditions","Manual Steps","Expected Result","Edge Cases","Regression","Accessibility","Performance","Battery","Memory","Security","Google Play","Status","Evidence"
"TC-0180","Lost picker-result recovery","Implemented","P1","Android 12L / API 32","Accessibility","Reduced motion","Exercise the feature with reduced motion enabled. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: System/app reduced-motion preference is enabled.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Essential state changes remain clear; motion is reduced or disabled without loss of meaning. Verify this specifically for Lost picker-result recovery.","Progress, transitions, and errors.","Yes","State changes are announced without relying on motion.","No animation workload remains.","Lower animation energy use.","No animation-controller leak.","No debug flag exposure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0181","Lost picker-result recovery","Implemented","P1","Android 13 / API 33","Accessibility","Keyboard/focus","Use keyboard, switch access, or hardware navigation where supported. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: External keyboard/accessibility input is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Focus order is logical, visible, and complete; every action is reachable. Verify this specifically for Lost picker-result recovery.","Dialogs, sliders, menus, and lists.","Yes","Focused control has a meaningful label.","No focus traversal lag.","No key-repeat action storm.","No focus-node leak.","No unintended destructive activation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0182","Lost picker-result recovery","Implemented","P2","Android 14 / API 34","Responsive","Landscape","Use the feature in landscape orientation. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Landscape device/profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Content fits or scrolls predictably; no clipped primary action or inaccessible control occurs. Verify this specifically for Lost picker-result recovery.","Phone landscape and tablet landscape.","Yes","Reading order remains logical.","No expensive relayout loop.","No persistent orientation wakeup.","Preview memory remains bounded.","No alternate path bypasses validation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0183","Lost picker-result recovery","Implemented","P2","Android 15 / API 35","Responsive","Tablet layout","Use the feature on a tablet-sized device. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Tablet device/profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Content uses available space appropriately without stretched or overlapping controls. Verify this specifically for Lost picker-result recovery.","7-inch and 10-inch where available.","Yes","Focus traversal works across columns.","Scroll and layout remain smooth.","No excess background work.","Large preview remains bounded.","No tablet-only storage bypass.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0184","Lost picker-result recovery","Implemented","P2","Android 16 / API 36","Responsive","Foldable/layout change","Open, fold/unfold, or resize the window. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Foldable/resizable profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. The UI adapts without losing state, duplicating work, or hiding the primary action. Verify this specifically for Lost picker-result recovery.","Folded, unfolded, tabletop, and resize.","Yes","Semantic order adapts correctly.","No relayout jank or loop.","No repeated wakeups.","No duplicate preview cache.","No state leakage between panes.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0185","Lost picker-result recovery","Implemented","P1","Android 10 / API 29","Memory","Low memory","Exercise the feature under memory pressure. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Low-RAM device/profile; other apps may be open.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. The app degrades gracefully, releases caches where expected, and avoids OOM/crash. Verify this specifically for Lost picker-result recovery.","2 GB and 3 GB RAM targets.","Yes","Announcements remain available after pressure.","Record recovery time.","No background work spike.","Record cache eviction and peak memory.","No stale temp file after eviction.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0186","Lost picker-result recovery","Implemented","P1","Android 11 / API 30","Performance","Low storage","Exercise the feature with low free storage. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Device has controlled low free space.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Failures are typed/useful, originals remain safe, and partial outputs are cleaned. Verify this specifically for Lost picker-result recovery.","Near-full app-private and shared storage.","Yes","Storage error is announced.","Failure is prompt, not a hang.","No repeated write retries.","No unbounded failed-output accumulation.","No overwrite of unrelated files.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0187","Lost picker-result recovery","Implemented","P1","Android 12 / API 31","Battery","Battery/long session","Run repeated operations for an extended session. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Battery measurement profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. No unexpected background activity, runaway CPU, or severe thermal behavior occurs. Verify this specifically for Lost picker-result recovery.","Long session on battery and charging.","Yes","Progress remains understandable.","Record throughput over time.","Compare battery drain and wakeups.","Track memory trend.","No diagnostic data leaves device.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0188","Lost picker-result recovery","Implemented","P1","Android 12L / API 32","Performance","Thermal throttling","Continue operation as the device warms. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Thermal monitoring profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. The app remains stable, communicates progress, and does not corrupt output under throttling. Verify this specifically for Lost picker-result recovery.","Low-end and modern device.","Yes","State remains understandable when slower.","Record throughput/frames/temperature.","No unsafe thermal workaround.","Memory stays bounded.","No partial output exposure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0189","Lost picker-result recovery","Implemented","P2","Android 13 / API 33","Edge Case","Rapid taps","Tap primary and destructive controls rapidly. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Feature has actionable controls.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Actions are debounced or safely idempotent; no duplicate writes, dialogs, exports, or crashes occur. Verify this specifically for Lost picker-result recovery.","Save/share/cancel/reset controls.","Yes","Focus and labels remain stable.","No rebuild storm.","No duplicate wakeups.","No duplicate buffers/files.","No duplicate or unauthorized export.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0190","Lost picker-result recovery","Implemented","P2","Android 14 / API 34","Performance","Rebuild/jank","Trigger repeated state updates while observing UI smoothness. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Performance overlay/profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Only necessary content rebuilds; no visible jank or dropped-frame cluster occurs. Verify this specifically for Lost picker-result recovery.","Long lists and progress surfaces.","Yes","Semantics stay synchronized.","Record frame timing and rebuild evidence.","No animation loop.","No allocation trend.","No sensitive debug overlay in release.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0191","Lost picker-result recovery","Implemented","P2","Android 15 / API 35","Lifecycle","Interrupted operation","Interrupt with a competing action or system event. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Operation is active.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. The app resolves the interruption safely, preserves truth, and offers retry/recovery where appropriate. Verify this specifically for Lost picker-result recovery.","At each operation phase.","Yes","Interruption message is announced.","Measure resume/abort latency.","No work continues invisibly.","No stale native resource.","No wrong-file export.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0192","Lost picker-result recovery","Implemented","P1","Android 16 / API 36","Regression","Retry failure","Force a recoverable failure and retry. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Controlled failure fixture or low-storage state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Retry starts one clean attempt, clears stale error state, and succeeds or fails truthfully. Verify this specifically for Lost picker-result recovery.","Picker, codec, MediaStore, and share failures.","Yes","Error and retry are accessible.","No exponential/unbounded retry loop.","No repeated background work after failure.","Previous failed buffers are released.","Retry cannot bypass validation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0193","Lost picker-result recovery","Implemented","P1","Android 10 / API 29","Edge Case","Duplicate input/output","Use duplicate selections or existing output names. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Duplicate files/names available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. The app rejects duplicates or resolves names deterministically without overwriting unrelated files. Verify this specifically for Lost picker-result recovery.","Same path, same name, and equivalent content.","Yes","Duplicate warning is announced.","No repeated processing of same asset.","No duplicate battery work.","No duplicate retained buffers.","Collision/path policy is enforced.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0194","Lost picker-result recovery","Implemented","P0","Android 11 / API 30","Security","Malicious path/name","Attempt traversal, remote URI, NUL, or unsafe filename input. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Security fixtures are available; use non-sensitive files.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Input fails closed; no outside-root read/write, crash, disclosure, or bypass occurs. Verify this specifically for Lost picker-result recovery.","../, absolute outside root, remote URI, NUL, reserved names.","Yes","Security error is understandable without leaking paths.","Rejection is prompt.","No retry loop.","No unauthorized allocation.","Canonical root and validation hold.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0195","Lost picker-result recovery","Implemented","P0","Android 12 / API 31","Security","Symlink escape","Attempt to use a symlink that resolves outside an authorized root. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Test filesystem permits controlled symlink fixture.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Canonicalization rejects the escape and leaves the outside file untouched. Verify this specifically for Lost picker-result recovery.","Symlink to file and directory.","Yes","Failure remains accessible.","No expensive repeated resolution.","No background retry.","No leaked file handle.","Path policy fails closed.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0196","Lost picker-result recovery","Implemented","P0","Android 12L / API 32","Security","NUL/unsafe filename","Use NUL bytes, separators, reserved names, and extreme filename lengths. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Filename validation boundary available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Names are rejected or sanitized safely; no traversal, crash, or accidental overwrite occurs. Verify this specifically for Lost picker-result recovery.","Unicode, separators, dots, NUL, 255+ chars.","Yes","Sanitization result is announced when relevant.","No repeated validation loop.","No extra file writes.","No unbounded string/path allocation.","No unsafe destination.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0197","Lost picker-result recovery","Implemented","P0","Android 13 / API 33","Security","Sensitive logs","Inspect logs during success and failure. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Debug/profile logging available; use synthetic paths/data.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Logs omit image bytes, personal paths/URIs, secrets, stack-sensitive details, and user content in release behavior. Verify this specifically for Lost picker-result recovery.","Error, path, export, and permission failures.","Yes","No sensitive data is announced through errors.","Logging adds no significant delay.","No continuous logging after operation.","No log-buffer growth.","Redaction and release gating pass.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0198","Lost picker-result recovery","Implemented","P0","Android 14 / API 34","Privacy","No network/telemetry","Observe network behavior during representative flows. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Network monitor/proxy or blocked network profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. No automatic upload, telemetry, analytics, or account request occurs; user-initiated recipient sharing is separately documented. Verify this specifically for Lost picker-result recovery.","Online, offline, DNS-blocked profiles.","Yes","Offline messaging remains clear.","No network timeout in local workflows.","No retry polling.","No network buffer retention.","No image/metadata exfiltration.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0199","Lost picker-result recovery","Implemented","P2","Android 15 / API 35","Storage","Cleanup/retention","Exercise cleanup, clear cache, clear history, and reset storage. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Generated cache/history/exports exist.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Only documented categories are removed; originals, active shares, and unrelated exports remain safe. Verify this specifically for Lost picker-result recovery.","Active, expired, and protected files.","Yes","Destructive confirmations are accessible.","Cleanup does not freeze UI.","No repeated scan loop.","Deleted files release handles.","Root/path policy remains enforced.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0200","Lost picker-result recovery","Implemented","P2","Android 16 / API 36","Regression","Upgrade/reinstall","Upgrade from a prior build or reinstall after data exists. Feature focus: Lost picker-result recovery.","Picker operation can be interrupted.","1. Picker operation can be interrupted. 2. Recover state after picker/activity recreation. 3. Apply the scenario: Prior build/data fixture and signed builds available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Recoverable picker state is restored safely or cleared truthfully. Settings and data follow documented migration/retention behavior; no crash, corruption, or unsafe recovery occurs. Verify this specifically for Lost picker-result recovery.","Old schema, missing optional fields, and clean reinstall.","Yes","Migration errors are announced.","Startup remains within target.","No migration polling.","No duplicate cache after migration.","No old sensitive data is exposed.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0201","Image inspection","Implemented","P1","Android 10 / API 29","Functional","Happy path","Core workflow succeeds with valid user input. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: No invalid data; clean app state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. Expected result is produced without data loss, crash, or unexpected prompt. Verify this specifically for Image inspection.","Valid input only.","Yes","Verify labels and primary action are announced.","Record baseline duration.","No sustained background work.","Observe peak memory for baseline.","No unauthorized path or data exposure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0202","Image inspection","Implemented","P1","Android 11 / API 30","Regression","Repeat operation","Repeat the same operation three times. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Feature completed once successfully.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. Each run is deterministic; no duplicate artifacts, stale state, or cumulative error appears. Verify this specifically for Image inspection.","Repeated use and existing outputs.","Yes","Focus remains predictable between runs.","Compare run times for drift.","No additional wakeups after each run.","Memory returns near baseline.","No stale file or sensitive log accumulation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0203","Image inspection","Implemented","P2","Android 12 / API 31","Edge Case","Cancel action","Cancel at the first available cancellation point. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Operation is in progress.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. Operation stops or becomes cooperatively cancelled; UI remains usable and partial output is cleaned according to policy. Verify this specifically for Image inspection.","Cancel before meaningful progress.","Yes","Cancellation is announced clearly.","Measure cancellation latency.","No work continues unexpectedly.","No retained buffer after cancellation.","Partial output is inaccessible and removed safely.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0204","Image inspection","Implemented","P2","Android 12L / API 32","Lifecycle","Back navigation","Use system/back navigation during the flow. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Feature screen is open.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. Navigation is predictable; no crash, duplicate screen, or corrupted state occurs. Verify this specifically for Image inspection.","Back during an active or idle state.","Yes","Back order and focus are logical.","No transition jank.","No orphaned work after leaving.","Owned resources are released.","No output is exposed by navigation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0205","Image inspection","Implemented","P2","Android 13 / API 33","Accessibility","Configuration change","Rotate or trigger the supported configuration change. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Feature is open with visible state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. State is preserved or safely restored; layout remains usable and no duplicate work starts. Verify this specifically for Image inspection.","Change during idle and active states.","Yes","Reading order remains valid.","No visible frame stall.","No repeated initialization loop.","No duplicate decoded buffers.","No state or file corruption.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0206","Image inspection","Implemented","P2","Android 14 / API 34","Lifecycle","Background and resume","Background the app and resume it. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Feature is open; operation may be active.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The app resumes safely, reflects true operation state, and does not lose or duplicate user work. Verify this specifically for Image inspection.","Background at early, middle, and late progress.","Yes","Resume state is announced where needed.","Record resume latency.","No unauthorized background processing.","Memory is stable across pause/resume.","Temporary files remain policy-safe.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0207","Image inspection","Implemented","P0","Android 15 / API 35","Regression","Process death recovery","Terminate the app process and relaunch. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: App has selected input or persisted settings.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The app does not crash; documented recoverable data is restored and incomplete work is handled safely. Verify this specifically for Image inspection.","Kill during picker, compression, save, and share states.","Yes","Startup and recovery announcements are clear.","Measure cold recovery.","No restart loop or orphan work.","No leaked native resources.","No unauthorized recovery path.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0208","Image inspection","Implemented","P1","Android 16 / API 36","Edge Case","Invalid input","Provide malformed or invalid input for the feature. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: A safe invalid fixture is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The input is rejected with a useful, localized error; the app remains usable and no unsafe write occurs. Verify this specifically for Image inspection.","Malformed metadata, ranges, or paths.","Yes","Error is announced to screen readers.","Validation completes without freeze.","No retry storm.","Invalid buffers are released.","Input cannot traverse or expose files.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0209","Image inspection","Implemented","P2","Android 10 / API 29","Functional","Empty state","Open the feature with no available data. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Fresh install or cleared local state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. A truthful empty state appears with a clear next action and no fabricated metrics. Verify this specifically for Image inspection.","No history, no selection, or no exports.","No","Empty state is labeled and focusable.","Initial render is responsive.","No polling for nonexistent data.","No unnecessary allocation.","No private data appears.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0210","Image inspection","Implemented","P1","Android 11 / API 30","Memory","Large input","Use a large supported input. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Large fixture is available; sufficient free storage.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The app completes or fails gracefully without OOM, ANR, corruption, or unsafe partial output. Verify this specifically for Image inspection.","At least 100 MiB where device permits.","Yes","Progress remains understandable.","Record duration and frame timing.","Thermal/work policy is observed.","Record peak native/Dart memory.","Output path remains authorized.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0211","Image inspection","Implemented","P2","Android 12 / API 31","Edge Case","Tiny or zero-size input","Use an empty, tiny, or near-zero-size file. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Fixtures are available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The app rejects unsupported content safely or handles it deterministically without crash or divide-by-zero behavior. Verify this specifically for Image inspection.","0-byte and smallest valid files.","Yes","Error/empty result is announced.","No hang during inspection.","No repeated retries.","No retained failed buffer.","No unsafe file operation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0212","Image inspection","Implemented","P2","Android 12L / API 32","Edge Case","Unsupported format","Use a format outside the approved support set. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Unsupported fixture is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The app clearly rejects or safely declines the operation; original file remains untouched. Verify this specifically for Image inspection.","Unknown extension and valid-but-unsupported codec.","Yes","Unsupported reason is accessible.","Failure is prompt.","No background codec loop.","No decoder leak.","No file disclosure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0213","Image inspection","Implemented","P0","Android 13 / API 33","Security","Permission denial","Deny a requested platform permission or picker access. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Permission prompt or denial path is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The app explains the limitation, does not loop prompts, and does not access unapproved files. Verify this specifically for Image inspection.","First denial and repeated denial.","Yes","Denial message and recovery action are announced.","No prompt loop.","No background access attempt.","No retained unauthorized handle.","No permission escalation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0214","Image inspection","Implemented","P2","Android 14 / API 34","Regression","Permission restoration","Restore access after a previous denial. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Permission was denied; system settings available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. The next permitted action succeeds without stale denial state or duplicate prompts. Verify this specifically for Image inspection.","Grant after denial and after restart.","Yes","State change is communicated.","No repeated initialization.","No extra wakeups.","Handles are refreshed safely.","Only granted scope is used.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0215","Image inspection","Implemented","P2","Android 15 / API 35","Privacy","Offline operation","Run the feature with network unavailable. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Disable network or use an offline test profile.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. Local functionality remains available where designed; no misleading online dependency or upload occurs. Verify this specifically for Image inspection.","Airplane mode and blocked DNS.","Yes","Offline status is understandable.","No network timeout delays local work.","No retry polling.","No network buffers.","No image/metadata upload.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0216","Image inspection","Implemented","P2","Android 16 / API 36","Accessibility","Dark theme","Exercise the feature in dark theme. Feature focus: Image inspection.","Supported fixture is available.","1. Supported fixture is available. 2. Inspect dimensions, format, and file size. 3. Apply the scenario: Dark theme is enabled.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Metadata is correct and native resources are released. Contrast, icons, states, and focus indicators remain clear and functional. Verify this specifically for Image inspection.","Dark mode with errors and progress.","No","TalkBack labels remain unchanged and clear.","Theme switch has no jank.","No animation regressions.","No duplicate theme resources.","No sensitive content in theme debug logs.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
